node,degree,clustering,closeness_centrality,betweenness_centrality,eccentricity
b23bd84a-453c-487f-8b04-5ce317622c8d,9,0,0.0,0.0,12
Direito Brasileiro,1,0,0.0007107320540156361,0.0,13
Vide Lei,53,0,0.037668798862828715,0.0,13
8221c58e-f37b-42e6-90c7-6f5d7fa78e6b,2,0,0.0,0.0,12
bbfb0c1f-cebb-4070-a904-066d22f8cc41,2,0,0.0,0.0,12
f03bbaa2-30b8-43ba-9c6f-3564a47003d3,2,0,0.0,0.0,12
ee6c360b-c9ce-4da2-b171-ab75b0f1a8a7,2,0,0.0,0.0,12
947916bd-be53-4fd3-abd2-16de8599dcbc,5,0,0.0,0.0,12
3dfb6930-1048-4617-b8f5-51cd35ba9037,2,0,0.0,0.0,12
3db01a67-fc65-4ee3-9031-46876e5e2fe8,2,0,0.0,0.0,12
9d295f57-8d93-497e-81b6-252b4414f199,2,0,0.0,0.0,12
0d6c61ed-9dee-4c1d-8bca-fa8535b766d2,2,0,0.0,0.0,12
fce6dd8f-c6de-4ba3-a259-8b11326be3b6,2,0,0.0,0.0,12
41213f69-a0f3-4d1c-b96c-72cdec179652,3,0,0.0,0.0,12
2c7c9d0c-e889-432d-b1c7-64754696481c,2,0,0.0,0.0,12
12ef8058-d619-4129-8b09-addf1754539f,2,0,0.0,0.0,12
e2462439-f27d-4b2e-8868-3d0cb1f8880c,2,0,0.0,0.0,12
03d420c3-06d7-4847-9fb9-ce50fcea8ac4,2,0,0.0,0.0,12
bfb521b1-fd87-4d25-9e36-b0e2db71391d,2,0,0.0,0.0,12
487e9f62-beae-4b9e-ad9a-0a77cc0a0a9b,3,0,0.0,0.0,12
d75b7b23-bbe9-423b-8f5c-effd3a50333a,2,0,0.0,0.0,12
f14bbe93-7629-4835-bb5d-1c137a21a245,4,0,0.0,0.0,12
0c9d6ced-453f-4cd6-8a40-4f17fc0e9946,4,0,0.0,0.0,12
569483a2-5290-448e-be00-4cb7b19d82a9,2,0,0.0,0.0,12
bbf9cd98-141d-4ab5-b1da-e24b4ae7bd9b,2,0,0.0,0.0,12
11ff7ff8-0a95-4f0e-bf9e-3189644bc681,2,0,0.0,0.0,12
71bd16f5-fa3c-4544-8bfc-e7ee3149c5f7,2,0,0.0,0.0,12
353ea7ba-db9b-4a0f-b4e1-9fb2a308d629,3,0,0.0,0.0,12
ba2e6a3e-b7a8-4fa8-91eb-1c551549239d,2,0,0.0,0.0,12
d7886ffd-667d-4b8f-bff4-87a7bdeffa7e,2,0,0.0,0.0,12
9a916d6d-ad1a-4b23-9189-f3e63f0cc41b,2,0,0.0,0.0,12
188020d7-3fbf-4f67-96c3-2fc785f65d1c,2,0,0.0,0.0,12
714f8928-0f62-4a69-8be1-6a689c981371,2,0,0.0,0.0,12
65816105-ffef-4998-9235-c4d8c1d3d956,2,0,0.0,0.0,12
06f9501e-3d5f-448b-8bda-53c50bbbd2e6,2,0,0.0,0.0,12
f85baf69-f777-4c7a-8fcc-40b7f1520f65,3,0,0.0,0.0,12
d86b4da0-03f6-4bd9-88bf-8b268ee026a3,3,0,0.0,0.0,12
a003a1e8-4e62-40d1-a2e1-3175ffc3c3f1,3,0,0.0,0.0,12
849b5c1a-bbab-4844-93a3-6fadb2b0bd24,2,0,0.0,0.0,12
40f18289-73df-4cc8-a56a-d1a1e3bb241c,2,0,0.0,0.0,12
dc0df45c-189d-485b-bc61-b4d86f3d4209,2,0,0.0,0.0,12
0c767050-139c-46df-9f26-46348fa97638,2,0,0.0,0.0,12
117474c4-aec5-4260-98d4-be5c39404daf,2,0,0.0,0.0,12
c286ad67-e94d-4db2-be2b-89f3b10c9d25,2,0,0.0,0.0,12
de514c86-e430-4137-8f63-ce2090d1bdcb,2,0,0.0,0.0,12
