node,degree,clustering,closeness_centrality,betweenness_centrality,eccentricity
P A R T E G E R A L,4,0,0.0,0.0,7
LIVRO I,14,0,0.0006151322534344885,0.00035836072618577054,6
"Livro II da Parte Especial deste Código . (Incluído pela Lei nº 10.825, de 22.12.2003)",3,0,0.0002050440844781628,2.089660234363068e-05,6
LIVRO II,7,0,0.0004100881689563256,8.225893424328869e-05,6
LIVRO III,17,0,0.001230264506868977,0.0008620656543471344,6
TÍTULO I,16,0,0.007009514697219643,0.0005831749075999975,5
TÍTULO II,21,0,0.008960997344301109,0.00236145833028356,5
TÍTULO III,17,0,0.006984847783329135,0.0006471416007206436,5
TÍTULO IV,15,0,0.008452211121771592,0.0016369347739289934,5
TÍTULO V,5,0,0.0010380356776706992,6.977741404079245e-05,5
título do crédito cedido.,3,0,0.00046867219309294355,1.6493011233265114e-05,5
TÍTULO VI,24,0,0.00812357808361267,0.0008416124839191686,5
TÍTULO VII,6,0,0.0010380356776706992,9.259828412606482e-05,5
TÍTULO VIII,6,0,0.0010380356776706992,9.259828412606482e-05,5
TÍTULO IX,5,0,0.0010380356776706992,7.116594208114866e-05,5
TÍTULO X,6,0,0.0010380356776706992,9.259828412606482e-05,5
CAPÍTULO I,21,0,0.008711898661723609,0.0013307541709684295,4
CAPÍTULO II,42,0,0.013799728239369842,0.01412303480202041,4
CAPÍTULO III,16,0,0.00868014975989517,0.0010246785775668477,6
CAPÍTULO IV,20,0,0.008776098357093717,0.0014377064445396728,6
CAPÍTULO V,15,0,0.008617341150923425,0.0009083728959940569,6
CAPÍTULO VI,13,0,0.00968224835006193,0.001261208288887041,6
CAPÍTULO VII,12,0,0.008196259787044854,0.0005486565920816793,6
CAPÍTULO VIII,10,0,0.008140236138466284,0.0003868695369135565,6
CAPÍTULO IX,13,0,0.009690126501689319,0.0024138211267961877,6
CAPÍTULO X,13,0,0.008555434964494377,0.0007509896897923354,6
CAPÍTULO XI,9,0,0.008140236138466284,0.0003942862681054864,6
Seção Desconhecida,23,0,0.010906631937674048,0.0005427427662143765,5
Seção I,301,0,0.011993117291617495,0.0070362822578998695,5
Seção II,438,0.00022987785126903022,0.01649468901741852,0.01679480751928357,5
Seção III,690,6.731032161713047e-05,0.015346862719814657,0.020789425586692833,5
Seção IV,113,0.0015802781289506952,0.013945158630651256,0.005970445481053443,5
Seção V,372,8.694896095991653e-05,0.014400441923308553,0.010727469044782266,5
Seção VI,171,0.000412796697626419,0.01404382720586813,0.006026334531897062,5
Seção VII,41,0.0024390243902439024,0.011415315378362927,0.0008025489359145157,5
