node,degree,clustering,closeness_centrality,betweenness_centrality,eccentricity
Livro I,1,0,0.0,0.0,3
Título I,2,0,0.0010193679918450561,0.001019367991845056,2
Capítulo I,980,0,0.0013591573224600749,0.0020366556408496117,2
Artigo Desconhecido,1,0,0.0015290519877675841,0.0,3
Artigo 1º,1,0,0.0015290519877675841,0.0,3
Artigo 2º,1,0,0.0015290519877675841,0.0,3
Artigo 3,1,0,0.0015290519877675841,0.0,3
Artigo 3º,1,0,0.0015290519877675841,0.0,3
Artigo 4,1,0,0.0015290519877675841,0.0,3
Artigo 4º,1,0,0.0015290519877675841,0.0,3
Artigo 5º,1,0,0.0015290519877675841,0.0,3
Artigo 6º,1,0,0.0015290519877675841,0.0,3
Artigo 7º,1,0,0.0015290519877675841,0.0,3
Artigo 8,1,0,0.0015290519877675841,0.0,3
Artigo 11,1,0,0.0015290519877675841,0.0,3
Artigo 12,1,0,0.0015290519877675841,0.0,3
Artigo 13,1,0,0.0015290519877675841,0.0,3
Artigo 14,1,0,0.0015290519877675841,0.0,3
Artigo 15,1,0,0.0015290519877675841,0.0,3
Artigo 16,1,0,0.0015290519877675841,0.0,3
Artigo 17,1,0,0.0015290519877675841,0.0,3
Artigo 18,1,0,0.0015290519877675841,0.0,3
Artigo 19,1,0,0.0015290519877675841,0.0,3
Artigo 20,1,0,0.0015290519877675841,0.0,3
Artigo 21,1,0,0.0015290519877675841,0.0,3
Artigo 22,1,0,0.0015290519877675841,0.0,3
Artigo 23,1,0,0.0015290519877675841,0.0,3
Artigo 24,1,0,0.0015290519877675841,0.0,3
Artigo 25,1,0,0.0015290519877675841,0.0,3
Artigo 26,1,0,0.0015290519877675841,0.0,3
Artigo 27,1,0,0.0015290519877675841,0.0,3
Artigo 28,1,0,0.0015290519877675841,0.0,3
Artigo 29,1,0,0.0015290519877675841,0.0,3
Artigo 30,1,0,0.0015290519877675841,0.0,3
Artigo 31,1,0,0.0015290519877675841,0.0,3
Artigo 32,1,0,0.0015290519877675841,0.0,3
Artigo 33,1,0,0.0015290519877675841,0.0,3
Artigo 34,1,0,0.0015290519877675841,0.0,3
Artigo 35,1,0,0.0015290519877675841,0.0,3
Artigo 36,1,0,0.0015290519877675841,0.0,3
Artigo 37,1,0,0.0015290519877675841,0.0,3
Artigo 38,1,0,0.0015290519877675841,0.0,3
Artigo 39,1,0,0.0015290519877675841,0.0,3
Artigo 40,1,0,0.0015290519877675841,0.0,3
Artigo 41,1,0,0.0015290519877675841,0.0,3
Artigo 42,1,0,0.0015290519877675841,0.0,3
Artigo 43,1,0,0.0015290519877675841,0.0,3
Artigo 45,1,0,0.0015290519877675841,0.0,3
Artigo 47,1,0,0.0015290519877675841,0.0,3
Artigo 48,1,0,0.0015290519877675841,0.0,3
Artigo 49,1,0,0.0015290519877675841,0.0,3
Artigo 50,1,0,0.0015290519877675841,0.0,3
Artigo 51,1,0,0.0015290519877675841,0.0,3
Artigo 52,1,0,0.0015290519877675841,0.0,3
Artigo 53,1,0,0.0015290519877675841,0.0,3
Artigo 54,1,0,0.0015290519877675841,0.0,3
Artigo 55,1,0,0.0015290519877675841,0.0,3
Artigo 56,1,0,0.0015290519877675841,0.0,3
Artigo 57,1,0,0.0015290519877675841,0.0,3
Artigo 58,1,0,0.0015290519877675841,0.0,3
Artigo 59,1,0,0.0015290519877675841,0.0,3
Artigo 60,1,0,0.0015290519877675841,0.0,3
Artigo 61,1,0,0.0015290519877675841,0.0,3
Artigo 62,1,0,0.0015290519877675841,0.0,3
Artigo 63,1,0,0.0015290519877675841,0.0,3
Artigo 64,1,0,0.0015290519877675841,0.0,3
Artigo 65,1,0,0.0015290519877675841,0.0,3
Artigo 66,1,0,0.0015290519877675841,0.0,3
Artigo 67,1,0,0.0015290519877675841,0.0,3
Artigo 68,1,0,0.0015290519877675841,0.0,3
Artigo 69,1,0,0.0015290519877675841,0.0,3
Artigo 70,1,0,0.0015290519877675841,0.0,3
Artigo 71,1,0,0.0015290519877675841,0.0,3
Artigo 72,1,0,0.0015290519877675841,0.0,3
Artigo 73,1,0,0.0015290519877675841,0.0,3
Artigo 74,1,0,0.0015290519877675841,0.0,3
Artigo 75,1,0,0.0015290519877675841,0.0,3
Artigo 76,1,0,0.0015290519877675841,0.0,3
Artigo 77,1,0,0.0015290519877675841,0.0,3
Artigo 78,1,0,0.0015290519877675841,0.0,3
Artigo 79,1,0,0.0015290519877675841,0.0,3
Artigo 80,1,0,0.0015290519877675841,0.0,3
Artigo 82,1,0,0.0015290519877675841,0.0,3
Artigo 83,1,0,0.0015290519877675841,0.0,3
Artigo 84,1,0,0.0015290519877675841,0.0,3
Artigo 85,1,0,0.0015290519877675841,0.0,3
Artigo 86,1,0,0.0015290519877675841,0.0,3
Artigo 87,1,0,0.0015290519877675841,0.0,3
Artigo 88,1,0,0.0015290519877675841,0.0,3
Artigo 89,1,0,0.0015290519877675841,0.0,3
Artigo 90,1,0,0.0015290519877675841,0.0,3
Artigo 91,1,0,0.0015290519877675841,0.0,3
Artigo 92,1,0,0.0015290519877675841,0.0,3
Artigo 93,1,0,0.0015290519877675841,0.0,3
Artigo 94,1,0,0.0015290519877675841,0.0,3
Artigo 95,1,0,0.0015290519877675841,0.0,3
Artigo 96,1,0,0.0015290519877675841,0.0,3
Artigo 97,1,0,0.0015290519877675841,0.0,3
Artigo 98,1,0,0.0015290519877675841,0.0,3
Artigo 100,1,0,0.0015290519877675841,0.0,3
Artigo 101,1,0,0.0015290519877675841,0.0,3
Artigo 102,1,0,0.0015290519877675841,0.0,3
Artigo 103,1,0,0.0015290519877675841,0.0,3
Artigo 105,1,0,0.0015290519877675841,0.0,3
Artigo 106,1,0,0.0015290519877675841,0.0,3
Artigo 107,1,0,0.0015290519877675841,0.0,3
Artigo 108,1,0,0.0015290519877675841,0.0,3
Artigo 109,1,0,0.0015290519877675841,0.0,3
Artigo 110,1,0,0.0015290519877675841,0.0,3
Artigo 111,1,0,0.0015290519877675841,0.0,3
Artigo 112,1,0,0.0015290519877675841,0.0,3
Artigo 113,1,0,0.0015290519877675841,0.0,3
Artigo 114,1,0,0.0015290519877675841,0.0,3
Artigo 115,1,0,0.0015290519877675841,0.0,3
Artigo 116,1,0,0.0015290519877675841,0.0,3
Artigo 117,1,0,0.0015290519877675841,0.0,3
Artigo 118,1,0,0.0015290519877675841,0.0,3
Artigo 119,1,0,0.0015290519877675841,0.0,3
Artigo 120,1,0,0.0015290519877675841,0.0,3
Artigo 121,1,0,0.0015290519877675841,0.0,3
Artigo 122,1,0,0.0015290519877675841,0.0,3
Artigo 123,1,0,0.0015290519877675841,0.0,3
Artigo 124,1,0,0.0015290519877675841,0.0,3
Artigo 125,1,0,0.0015290519877675841,0.0,3
Artigo 126,1,0,0.0015290519877675841,0.0,3
Artigo 127,1,0,0.0015290519877675841,0.0,3
Artigo 128,1,0,0.0015290519877675841,0.0,3
Artigo 129,1,0,0.0015290519877675841,0.0,3
Artigo 130,1,0,0.0015290519877675841,0.0,3
Artigo 131,1,0,0.0015290519877675841,0.0,3
Artigo 132,1,0,0.0015290519877675841,0.0,3
Artigo 133,1,0,0.0015290519877675841,0.0,3
Artigo 134,1,0,0.0015290519877675841,0.0,3
Artigo 135,1,0,0.0015290519877675841,0.0,3
Artigo 136,1,0,0.0015290519877675841,0.0,3
Artigo 137,1,0,0.0015290519877675841,0.0,3
Artigo 138,1,0,0.0015290519877675841,0.0,3
Artigo 140,1,0,0.0015290519877675841,0.0,3
Artigo 141,1,0,0.0015290519877675841,0.0,3
Artigo 142,1,0,0.0015290519877675841,0.0,3
Artigo 143,1,0,0.0015290519877675841,0.0,3
Artigo 144,1,0,0.0015290519877675841,0.0,3
Artigo 145,1,0,0.0015290519877675841,0.0,3
Artigo 146,1,0,0.0015290519877675841,0.0,3
Artigo 147,1,0,0.0015290519877675841,0.0,3
Artigo 148,1,0,0.0015290519877675841,0.0,3
