node_id,label,name,grau_total,grau_entrada,grau_saida,closeness,betweenness,clustering,eccentricity,periphery
0,Chunk,Chunk_0,0,0,0,0.0,0.0,0.0,,False
1,Chunk,Chunk_1,0,0,0,0.0,0.0,0.0,,False
2,Chunk,Chunk_2,0,0,0,0.0,0.0,0.0,,False
3,Chunk,Chunk_3,0,0,0,0.0,0.0,0.0,,False
4,Chunk,Chunk_4,0,0,0,0.0,0.0,0.0,,False
5,Chunk,Chunk_5,0,0,0,0.0,0.0,0.0,,False
6,Chunk,Chunk_6,0,0,0,0.0,0.0,0.0,,False
7,Chunk,Chunk_7,0,0,0,0.0,0.0,0.0,,False
8,Chunk,Chunk_8,0,0,0,0.0,0.0,0.0,,False
9,Chunk,Chunk_9,0,0,0,0.0,0.0,0.0,,False
10,Chunk,Chunk_10,0,0,0,0.0,0.0,0.0,,False
11,Chunk,Chunk_11,0,0,0,0.0,0.0,0.0,,False
12,Chunk,Chunk_12,0,0,0,0.0,0.0,0.0,,False
13,Chunk,Chunk_13,0,0,0,0.0,0.0,0.0,,False
14,Chunk,Chunk_14,0,0,0,0.0,0.0,0.0,,False
15,Chunk,Chunk_15,0,0,0,0.0,0.0,0.0,,False
16,Chunk,Chunk_16,0,0,0,0.0,0.0,0.0,,False
17,Chunk,Chunk_17,0,0,0,0.0,0.0,0.0,,False
18,Chunk,Chunk_18,0,0,0,0.0,0.0,0.0,,False
19,Chunk,Chunk_19,0,0,0,0.0,0.0,0.0,,False
20,Chunk,Chunk_20,0,0,0,0.0,0.0,0.0,,False
21,Chunk,Chunk_21,0,0,0,0.0,0.0,0.0,,False
22,Chunk,Chunk_22,0,0,0,0.0,0.0,0.0,,False
23,Chunk,Chunk_23,0,0,0,0.0,0.0,0.0,,False
24,Chunk,Chunk_24,0,0,0,0.0,0.0,0.0,,False
25,Chunk,Chunk_25,0,0,0,0.0,0.0,0.0,,False
26,Chunk,Chunk_26,0,0,0,0.0,0.0,0.0,,False
27,Chunk,Chunk_27,0,0,0,0.0,0.0,0.0,,False
28,Chunk,Chunk_28,0,0,0,0.0,0.0,0.0,,False
29,Chunk,Chunk_29,0,0,0,0.0,0.0,0.0,,False
30,Chunk,Chunk_30,0,0,0,0.0,0.0,0.0,,False
31,Chunk,Chunk_31,0,0,0,0.0,0.0,0.0,,False
32,Chunk,Chunk_32,0,0,0,0.0,0.0,0.0,,False
33,Chunk,Chunk_33,0,0,0,0.0,0.0,0.0,,False
34,Chunk,Chunk_34,0,0,0,0.0,0.0,0.0,,False
35,Chunk,Chunk_35,0,0,0,0.0,0.0,0.0,,False
36,Chunk,Chunk_36,0,0,0,0.0,0.0,0.0,,False
37,Chunk,Chunk_37,0,0,0,0.0,0.0,0.0,,False
38,Chunk,Chunk_38,0,0,0,0.0,0.0,0.0,,False
39,Chunk,Chunk_39,0,0,0,0.0,0.0,0.0,,False
40,Chunk,Chunk_40,0,0,0,0.0,0.0,0.0,,False
41,Chunk,Chunk_41,0,0,0,0.0,0.0,0.0,,False
42,Chunk,Chunk_42,0,0,0,0.0,0.0,0.0,,False
43,Chunk,Chunk_43,0,0,0,0.0,0.0,0.0,,False
44,Chunk,Chunk_44,0,0,0,0.0,0.0,0.0,,False
45,Chunk,Chunk_45,0,0,0,0.0,0.0,0.0,,False
46,Chunk,Chunk_46,0,0,0,0.0,0.0,0.0,,False
47,Chunk,Chunk_47,0,0,0,0.0,0.0,0.0,,False
48,Chunk,Chunk_48,0,0,0,0.0,0.0,0.0,,False
49,Chunk,Chunk_49,0,0,0,0.0,0.0,0.0,,False
50,Chunk,Chunk_50,0,0,0,0.0,0.0,0.0,,False
51,Chunk,Chunk_51,0,0,0,0.0,0.0,0.0,,False
52,Chunk,Chunk_52,0,0,0,0.0,0.0,0.0,,False
53,Chunk,Chunk_53,0,0,0,0.0,0.0,0.0,,False
54,Chunk,Chunk_54,0,0,0,0.0,0.0,0.0,,False
55,Chunk,Chunk_55,0,0,0,0.0,0.0,0.0,,False
56,Chunk,Chunk_56,0,0,0,0.0,0.0,0.0,,False
57,Chunk,Chunk_57,0,0,0,0.0,0.0,0.0,,False
58,Chunk,Chunk_58,0,0,0,0.0,0.0,0.0,,False
59,Chunk,Chunk_59,0,0,0,0.0,0.0,0.0,,False
60,Chunk,Chunk_60,0,0,0,0.0,0.0,0.0,,False
61,Chunk,Chunk_61,0,0,0,0.0,0.0,0.0,,False
62,Chunk,Chunk_62,0,0,0,0.0,0.0,0.0,,False
63,Chunk,Chunk_63,0,0,0,0.0,0.0,0.0,,False
64,Chunk,Chunk_64,0,0,0,0.0,0.0,0.0,,False
65,Chunk,Chunk_65,0,0,0,0.0,0.0,0.0,,False
66,Chunk,Chunk_66,0,0,0,0.0,0.0,0.0,,False
67,Chunk,Chunk_67,0,0,0,0.0,0.0,0.0,,False
68,Chunk,Chunk_68,0,0,0,0.0,0.0,0.0,,False
69,Chunk,Chunk_69,0,0,0,0.0,0.0,0.0,,False
70,Chunk,Chunk_70,0,0,0,0.0,0.0,0.0,,False
71,Chunk,Chunk_71,0,0,0,0.0,0.0,0.0,,False
72,Chunk,Chunk_72,0,0,0,0.0,0.0,0.0,,False
73,Chunk,Chunk_73,0,0,0,0.0,0.0,0.0,,False
74,Chunk,Chunk_74,0,0,0,0.0,0.0,0.0,,False
75,Chunk,Chunk_75,0,0,0,0.0,0.0,0.0,,False
76,Chunk,Chunk_76,0,0,0,0.0,0.0,0.0,,False
