node_id,label,name,grau_total,grau_entrada,grau_saida,closeness,betweenness,clustering,eccentricity,periphery
0,Chunk,Chunk_0,6,0,6,0.0,0.0,0.4,,False
1,GESTOR,GESTOR_1,10,4,6,0.0004394155772822147,2.1535379653876377e-05,0.16666666666666666,,False
2,Chunk,Chunk_2,3,0,3,0.0,0.0,0.6666666666666666,,False
3,Chunk,Chunk_3,7,0,7,0.0,0.0,1.0,,False
4,DONO_DO_NEGÓCIO,DONO_DO_NEGÓCIO_4,3,2,1,0.0002929437181881431,0.0,1.0,,False
5,Chunk,Chunk_5,3,0,3,0.0,0.0,0.3333333333333333,,False
6,Chunk,Chunk_6,3,0,3,0.0,0.0,1.0,,False
7,Chunk,Chunk_7,3,0,3,0.0,0.0,1.0,,False
8,SUBSTITUTO,SUBSTITUTO_8,2,2,0,0.0003432934197517302,0.0,1.0,,False
9,PESSOA_IDÔNEA,PESSOA_IDÔNEA_9,2,2,0,0.0003432934197517302,0.0,1.0,,False
10,DONO_DO_NEGÓCIO,DONO_DO_NEGÓCIO_10,2,2,0,0.0003432934197517302,0.0,1.0,,False
11,Chunk,Chunk_11,5,0,5,0.0,0.0,0.3,,False
12,Chunk,Chunk_12,6,0,6,0.0,0.0,1.0,,False
13,Chunk,Chunk_13,7,0,7,0.0,0.0,1.0,,False
14,Chunk,Chunk_14,5,0,5,0.0,0.0,1.0,,False
15,Chunk,Chunk_15,3,0,3,0.0,0.0,1.0,,False
16,Chunk,Chunk_16,3,0,3,0.0,0.0,1.0,,False
17,Chunk,Chunk_17,4,0,4,0.0,0.0,1.0,,False
18,INTERESSE,INTERESSE_18,2,2,0,0.10351258848036944,0.0,1.0,,False
19,Chunk,Chunk_19,7,0,7,0.0,0.0,0.7619047619047619,,False
20,Chunk,Chunk_20,6,0,6,0.0,0.0,1.0,,False
21,Chunk,Chunk_21,4,0,4,0.0,0.0,1.0,,False
22,Chunk,Chunk_22,3,0,3,0.0,0.0,1.0,,False
23,ACESSÕES,ACESSÕES_23,2,2,0,0.09013113105796279,0.0,1.0,,False
24,POSSUIDOR_DE_BOA-FÉ,POSSUIDOR_DE_BOA-FÉ_24,2,2,0,0.00044857006847559414,0.0,1.0,,False
25,POSSUIDOR_DE_MÁ-FÉ,POSSUIDOR_DE_MÁ-FÉ_25,2,2,0,0.00044857006847559414,0.0,1.0,,False
26,Chunk,Chunk_26,5,0,5,0.0,0.0,0.3,,False
27,Chunk,Chunk_27,5,0,5,0.0,0.0,1.0,,False
28,Chunk,Chunk_28,8,0,8,0.0,0.0,0.2857142857142857,,False
29,Chunk,Chunk_29,5,0,5,0.0,0.0,1.0,,False
30,Chunk,Chunk_30,4,0,4,0.0,0.0,1.0,,False
31,Chunk,Chunk_31,4,0,4,0.0,0.0,1.0,,False
32,ENRIQUECIMENTO_INDEVIDO,ENRIQUECIMENTO_INDEVIDO_32,4,2,2,0.00021970778864110734,1.8405536018330508e-05,0.5,,False
33,RESTITUIÇÃO,RESTITUIÇÃO_33,4,4,0,0.00045772455966897367,0.0,0.5,,False
34,ATUALIZAÇÃO_DOS_VALORES_MONETÁRIOS,ATUALIZAÇÃO_DOS_VALORES_MONETÁRIOS_34,2,1,1,0.00010985389432055367,0.0,1.0,,False
35,COISA_DETERMINADA,COISA_DETERMINADA_35,2,1,1,0.00010985389432055367,0.0,1.0,,False
36,VALOR_DO_BEM,VALOR_DO_BEM_36,2,1,1,0.00010985389432055367,0.0,1.0,,False
37,Chunk,Chunk_37,6,0,6,0.0,0.0,0.3333333333333333,,False
38,CAUSA,CAUSA_38,2,2,0,0.0993462327616256,0.0,1.0,,False
39,Chunk,Chunk_39,3,0,3,0.0,0.0,0.6666666666666666,,False
40,PREJUÍZO,PREJUÍZO_40,3,2,1,0.00021970778864110734,2.36197181081824e-06,0.3333333333333333,,False
41,Chunk,Chunk_41,4,0,4,0.0,0.0,0.5,,False
42,Chunk,Chunk_42,2,0,2,0.0,0.0,1.0,,False
43,Chunk,Chunk_43,5,0,5,0.0,0.0,1.0,,False
44,NORMA_JURÍDICA,NORMA_JURÍDICA_44,2,1,1,0.00010985389432055367,0.0,1.0,,False
45,Chunk,Chunk_45,7,0,7,0.0,0.0,0.7619047619047619,,False
46,TÉCNICA_DE_EMISSÃO,TÉCNICA_DE_EMISSÃO_46,3,2,1,0.0993462327616256,0.0,1.0,,False
47,TÉCNICA_DE_EMISSÃO,TÉCNICA_DE_EMISSÃO_47,2,2,0,0.0993462327616256,0.0,1.0,,False
48,REQUISITOS_MÍNIMOS,REQUISITOS_MÍNIMOS_48,4,4,0,0.09946363355464242,0.0,0.5,,False
49,MEIO_TÉCNICO_EQUIVALENTE,MEIO_TÉCNICO_EQUIVALENTE_49,1,0,1,0.0,0.0,0.0,,False
50,Chunk,Chunk_50,11,0,11,0.0,0.0,0.509090909090909,,False
51,Chunk,Chunk_51,3,0,3,0.0,0.0,1.0,,False
52,AJUSTE,AJUSTE_52,3,2,1,0.0002471712622212457,6.034601973223119e-08,0.0,,False
